Item,Familia,Descripcion,Costo,Empresa,Estado,Notas
1,Materiales Insumos y Reactivos,Frasco de cultivo celular  de 75 cm² con tapa de ventilación (con filtro).  ,141.6,Biotecnomica,Comprado y entregado,
2,Materiales Insumos y Reactivos,Frasco de cultivo celular   de 25 cm² con tapa de ventilación (con filtro). ,1200.0,Biogenics Lab,En proceso de solicitud de compra,
3,Materiales Insumos y Reactivos,"PLACA DE CULTIVO CELULAR DE POLIESTIRENO (PS) CON TAPA , 96 POCILLOS",1200.0,Biogenics Lab,Comprado y entregado,
4,Materiales Insumos y Reactivos,"PLACA DE CULTIVO CELULAR DE POLIESTIRENO (PS), 24 POCILLOS",758.74,Belomed,En proceso de solicitud de compra,
5,Materiales Insumos y Reactivos,Puntas de micropipetas color claro con filtro de ajuste universal  de 0.5 a 10 µL,28.32,Biotecnomica,Comprado y entregado,
6,Materiales Insumos y Reactivos,Puntas de micropipetas color amarillo sin filtro de ajuste universal  de 200 µL,141.6,Biotecnomica,Comprado y entregado,
7,Materiales Insumos y Reactivos,Puntas de micropipetas color claro sin filtro de ajuste universal  de 1000 µL,212.4,Biotecnomica,Comprado y entregado,
8,Materiales Insumos y Reactivos,"Tubos para centrífuga  de polIpropileno de 15 ml, Esteriles",250.0,BiogenicsLAB,Comprado y entregado,
9,Materiales Insumos y Reactivos,"Tubos para centrífuga  de polIpropileno de 50 ml, esteriles",300.0,BiogenicsLAB,En proceso de solicitud de compra,
10,Materiales Insumos y Reactivos,Tubos de microcentrífuga 1.5 mL,124.0,Biogenics Lab,Comprado y entregado,
11,Materiales Insumos y Reactivos,Crioviales,41.3,Biotecnomica,Comprado y entregado,
12,Materiales Insumos y Reactivos,"Reservorio de poliestireno de 25mL de color blanco, esteril ",188.8,Biotecnomica,Comprado y entregado,
13,Materiales Insumos y Reactivos,Reactivo para Ensayo de Viabilidad Celular (Método Colorimétrico MTS). ,5900.0,Mased,En proceso de Aprobación para Compra,Proceso 31.27
14,Materiales Insumos y Reactivos,Solución salina tamponada con fosfato (PBS),425.42,Biolab Scientific EIRL,Comprado y en proceso de entrega,
15,Materiales Insumos y Reactivos,Crizotinib (PF-02341066),300.0,ChemDiv,En proceso de Aprobación para Compra,Proceso 31.13
16,Materiales Insumos y Reactivos,Ceritinib dihidrocloruro (LDK378 dihidrocloruro),350.0,ChemDiv,En proceso de Aprobación para Compra,Proceso 31.13
17,Materiales Insumos y Reactivos,Alectinib (RG-7853),400.0,ChemDiv,En proceso de Aprobación para Compra,Proceso 31.13
